"Nr","Lat","Long","Municipio","CodIbge","Estado","Bioma","AreaKm2","Desmatamento2000","incremento2001","incremento2002","incremento2003","incremento2004","incremento2005","incremento2006","incremento2007","incremento2008","incremento2009","incremento2010","incremento2011","incremento2012","incremento2013","incremento2014","incremento2015","incremento2016","incremento2017","incremento2018","incremento2019","incremento2020","incremento2021","incremento2022","Floresta2022","NaoFloresta","Hidrografia"
258,-7.36341975699995,-50.0999010702069,"Rio Maria",1506161,"PA","Amazônia",4018.30931,3013.7,65.1,67.3,11.1,42.6,81.4,19.1,21.3,15.3,6.8,4,2.8,2.3,8.7,3.8,4.8,7.3,6.2,7.3,6.1,11.7,5.8,8.3,523.7,39.6,8.8
259,-7.61462034849995,-49.8537800939383,"Rio Maria",1506161,"PA","Cerrado",101.77974,16.9,0.6,0.6,1.5,1.5,1.5,1.5,0.8,0.8,0.6,0.6,0,0,2.1,2,0,3.4,0,3.9,0,4.2,4.4,7.8,46,0,0
260,-4.51059083699997,-48.4503904664985,"Rondon do Pará",1506187,"PA","Amazônia",8234.29623,4124.9,67.2,467,56.6,217.3,180.1,43,85.2,53.5,30.4,52.7,26.4,13.9,29.3,22.4,19,26.4,19.2,24.2,34.1,36.3,34.6,46.8,2488.1,0,0
261,-4.19945646599996,-55.3237417138705,"Rurópolis",1506195,"PA","Amazônia",7020.78786,1379.9,27.3,22.4,38,70.1,15.8,28.7,71.7,49.3,29.9,32.1,41,40.6,18.8,34.9,30.9,27.8,42.9,50,108.7,98.6,169.5,118.1,4437.1,0,40.4
262,-0.707610130499944,-47.3514925968487,"Salinópolis",1506203,"PA","Amazônia",229.24707,7.8,0,14.4,0,2.2,0.3,0,1.5,0.8,1.8,2.1,0.4,0.3,1.7,0,1.2,0.2,0.1,0.3,1.1,0,0.9,0.3,165.5,10.8,16.9
263,-0.814441161499957,-48.6146647603708,"Salvaterra",1506302,"PA","Amazônia",916.62061,34.3,65.1,0.6,1,1.7,0.3,0.4,0.1,0.3,2.2,5,1.1,0.4,0.5,0.5,0.1,0.2,2.4,0.1,0.3,0.1,0.4,0,188.5,430.7,179.5
264,-1.19189985549997,-48.2366731862122,"Santa Bárbara do Pará",1506351,"PA","Amazônia",279.02011,125.6,27.1,0.6,2,1.2,0.2,1.5,0.7,1.3,0,0.3,0.1,0,0.2,0,0.1,0.1,0.2,0.2,0.4,0.3,0.1,0,100.6,0,17.2
265,-0.574963793499933,-49.3202496112663,"Santa Cruz do Arari",1506401,"PA","Amazônia",1073.3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8,1046.8,31
266,-1.36957225749995,-48.1294078245499,"Santa Izabel do Pará",1506500,"PA","Amazônia",722.06553,450.5,52.7,2.4,10.4,8.3,1.6,5.9,2.1,1.3,0.1,0.2,0.4,0.1,1,0.1,0.5,0.8,1.7,0.5,0,0.4,0.5,0.2,158.2,4.1,21.1
267,-1.72564983349994,-46.8980035502933,"Santa Luzia do Pará",1506559,"PA","Amazônia",1344.95441,1182.3,8.3,0.3,2.4,2,10.1,9.1,0,5.6,8.8,1,0.3,0,0,0.7,0,0,0.4,0.2,0.2,0.6,0,0,92.6,0,0
268,-8.62052352649996,-50.5339350475785,"Santa Maria das Barreiras",1506583,"PA","Amazônia",7499.51767,3910,419,241.7,197.5,228,277.5,80.9,119.1,101.1,24,43.7,32.7,19.1,20.1,19.5,12.9,18.4,16.4,12.5,27.8,32.5,11.7,14.9,1369.5,108.2,0
269,-8.69393201449995,-49.9024724556833,"Santa Maria das Barreiras",1506583,"PA","Cerrado",2821.61042,299.3,22.1,22.1,33.6,33.6,36.4,36.4,21.4,21.4,14.6,14.6,0.1,0.1,53.3,82.7,0.3,138.1,0.3,100,0.8,131.3,78.8,142.2,1498.8,0.1,38.6
270,-1.36605453499996,-47.5302831459393,"Santa Maria do Pará",1506609,"PA","Amazônia",457.61528,324.7,44.1,6.2,20.1,6.7,1.4,5.6,1.9,0.9,0.2,0.3,0,0.2,0.9,0.1,0.1,0.3,0.1,0.1,0,0.1,0,0,41.1,0,0
271,-9.27311998549992,-50.6259355970508,"Santana do Araguaia",1506708,"PA","Amazônia",10579.13106,4533.5,354.3,368.7,335.1,281.9,483,135.3,219,184.8,26.5,38.9,30.8,22.9,38.9,23.7,16.6,19.9,13.9,12.1,21.4,51.3,25.7,16.6,3013.8,212.1,0.2
272,-9.45592941099997,-50.1796427128158,"Santana do Araguaia",1506708,"PA","Cerrado",1022.16759,83,9.6,9.6,11.8,11.8,5.1,5.1,6.5,6.5,3.4,3.4,0,0,14.6,5.1,0.1,18.2,0.9,12.7,1.8,26.8,14.9,10.4,704,0.1,56.7
273,-2.66662753599994,-55.531608479471,"Santarém",1506807,"PA","Amazônia",18014.5663,2514.7,153.9,144.3,33.9,24,21.3,17.4,10.1,30.9,18.1,19,10.9,7,6.1,11.2,22.2,6.9,20.7,12.9,19.4,15.6,17.7,54.5,8793.7,668.7,3830.3
274,-0.90165996549996,-47.3458768612436,"Santarém Novo",1506906,"PA","Amazônia",232.68209,95.3,0,6.9,26.4,5,9.8,0.2,1.7,3.1,0.2,0.2,0.2,0,0.1,0.1,0,0.1,0.3,0.2,0.2,0.1,0.1,0.1,73.5,1.9,7.2
275,-1.09612297549995,-48.1415230481282,"Santo Antônio do Tauá",1507003,"PA","Amazônia",513.35184,257.7,43.1,1.1,7.4,3.8,0.1,6.3,1.5,2,0.1,0.1,0.3,0,0.5,0.1,0.2,0,0.2,0,0,0.4,0.5,0,84.7,6.8,95.5
276,-0.863701342499951,-48.0410904202417,"São Caetano de Odivelas",1507102,"PA","Amazônia",459.84213,163,31.8,1.9,18.1,2.7,0.9,6.1,1.1,3.7,0.3,0.4,0.4,0,0.5,0,0.2,1.3,0.3,0.3,0.2,0.9,0.4,0.2,181.1,8.8,33.1
277,-5.68205254799994,-48.7320464698928,"São Domingos do Araguaia",1507151,"PA","Amazônia",1401.87873,1113.4,41.3,14.4,28.5,29.4,20.6,1.6,11.4,9.7,9.9,5.4,1.9,0.9,2.4,2.4,0.9,2.6,1.6,1,1.5,1.6,1.5,1.4,99.6,0,0
278,-1.92735590549995,-47.7601363203129,"São Domingos do Capim",1507201,"PA","Amazônia",1683.91057,1103.5,28.4,13.8,41.7,58.5,12.6,34.7,19.9,12,1.5,1.1,3,0.9,2,0.9,1.8,2.7,11.4,0.9,0.5,2.1,1.2,0.8,273.7,15.2,35.2
279,-7.46182777599995,-52.4638579234376,"São Félix do Xingu",1507300,"PA","Amazônia",84191.64412,7049.2,1693.4,1266.9,1321.7,1084.8,1405.4,763.8,877.1,758.8,439.7,349.6,139.4,167.7,221.3,152.8,199.4,314.9,236.7,277.1,544.9,608.8,577,534.5,73855,3854,955.1
280,-1.20710754399997,-47.7479073504116,"São Francisco do Pará",1507409,"PA","Amazônia",475.20348,336.4,34.6,6.8,16.9,3.5,6,3,2,2.6,0.1,0.8,0.2,0.2,0.5,0.1,0.1,0.3,0.2,0.1,0,0.2,0.2,0.2,54.7,1.3,0.1
281,-6.16882499449994,-48.758580826243,"São Geraldo do Araguaia",1507458,"PA","Amazônia",3170.02569,2277.4,66.8,31.2,19.2,34.1,23.3,1.9,14.2,7.8,3.5,3.5,1,0.4,2.2,1.5,0.7,3.1,1.9,1,1.5,1.3,1.5,0.6,306.8,316.7,38.5
282,-0.869081787999932,-47.9619380332646,"São João da Ponta",1507466,"PA","Amazônia",189.40418,73.4,5.8,1.6,9.1,1.8,2.4,3.9,0.5,3.8,0.3,2.3,0.7,0.1,0.7,0.1,0.6,0.4,0.8,0.6,0.5,0.7,0.4,0.4,64.8,1.6,10.9
283,-0.774967192999952,-47.222256948339,"São João de Pirabas",1507474,"PA","Amazônia",655.70165,116.4,1.1,13.8,24.4,10,14.9,2.5,5.1,4.5,2,1.3,1.1,1,1.3,1.8,3.2,1.1,0.7,0.9,1.9,0.6,1.9,1,398.1,13.2,28.2
284,-5.44208185199997,-48.6802474981896,"São João do Araguaia",1507508,"PA","Amazônia",1258.61376,672.3,37,39.7,21.3,29.2,34.4,3.1,12.2,34.7,15.4,4.9,3.1,2.1,3.4,4.5,4.9,6.6,4.8,3.9,5.3,4.8,5.4,4.8,124.7,73.5,100.3
285,-1.55195903749996,-47.6280144170513,"São Miguel do Guamá",1507607,"PA","Amazônia",1101.90181,669.5,53.6,17.3,48.9,33.5,5.4,24.9,6.9,7.8,0.7,0.1,1.3,1.2,0.8,0.2,1.5,1.2,1.7,0.7,0.2,0.7,0.8,0.4,160.2,15.8,33
286,-1.43136372599994,-49.6039507748766,"São Sebastião da Boa Vista",1507706,"PA","Amazônia",1641.83101,0.9,118.9,0,0,0.2,0.2,0,0.2,0,0.5,2.1,0,0.1,0.3,0,0,0.1,0.1,0,0.1,0.4,0.3,0,1214.2,178.8,123.3
287,-6.83397384849994,-49.5692576356915,"Sapucaia",1507755,"PA","Amazônia",1293.18996,1127.7,2,2.6,0.5,2.4,6.2,2.3,4,0.4,0,0.1,0,0,0,0,0.9,1,3.8,2.2,4.4,3.8,1.5,1.8,115.8,0,0
288,-4.31246755849997,-51.5770999526061,"Senador José Porfírio",1507805,"PA","Amazônia",14307.14071,174.9,80.4,44.2,95.6,83.9,56.4,41.1,59.6,14.8,3.7,28.3,100.5,19.2,14.5,28.2,58.6,68.2,98.7,49.5,328.2,147.6,112.3,122,11978.7,85.5,412
289,-0.482527902472846,-48.7309539884122,"Soure",1507904,"PA","Amazônia",2820.20469,19,12.3,0.3,0.5,0.6,0,0.3,0.1,0,0.2,0.8,0,0,0,0,0.3,0,0.5,0.1,0,0,0,0,241,2501.4,42.1
290,-2.90491516099996,-48.7843230375703,"Tailândia",1507953,"PA","Amazônia",4431.73871,1430.9,49.8,145.4,65.1,91.8,128.6,39,57.5,71.9,16.2,48.6,19,9,33.3,9.9,6.7,13.7,13.8,13.6,20,37.5,39.4,24.7,2027.6,0,0
291,-1.01118821940324,-47.8529427732972,"Terra Alta",1507961,"PA","Amazônia",202.82734,123.9,24.2,1.9,10.4,1.6,0.3,2.7,0.5,1.3,0.1,0.4,0.2,0.4,0.1,0.2,0,0.3,0,0.3,0.2,0.2,0.1,0.1,29.3,0,0
292,-1.90432338349996,-56.4743428625088,"Terra Santa",1507979,"PA","Amazônia",1894.50034,285.2,10.6,9.2,7.3,1.8,6.3,2.4,3.8,5.6,4.1,4.2,1.4,0.6,3,3.9,4.6,3,2.2,1.4,4.6,2.8,3.9,4.9,727.6,392.6,396.6
293,-2.67272562349993,-48.2533288161682,"Tomé-Açu",1508001,"PA","Amazônia",5141.68195,2431,138.6,83.6,27.2,51.1,62.6,14.8,32.3,36,13.8,35.9,6.3,1,13.6,7.7,4.9,7.3,11.5,16.5,13.5,16,22.9,22.5,2059.3,0.1,0.4
294,-1.06611919399995,-46.9169933670747,"Tracuateua",1508035,"PA","Amazônia",864.69469,450.4,1.9,0,2.6,0.8,3.3,1.1,0,1.9,4.2,0.1,0.3,0,0,0.5,0.3,0,0.4,0.2,0.4,0.1,0.3,0,189.9,187.3,16.9
295,-5.10636777849993,-55.9339239946615,"Trairão",1508050,"PA","Amazônia",11991.79468,573.6,73.7,33.2,53.9,81.6,50.6,38.9,66.6,42.3,36.9,26.7,49.6,42.2,42.5,43.9,24.9,40.5,81.2,55.7,111.9,82.3,120.4,113.5,10007.5,1.1,93.4
296,-6.81450543999995,-51.4134840682172,"Tucumã",1508084,"PA","Amazônia",2514.79509,1974.6,128.5,73,28.2,10.2,20,9.6,13.9,9.8,2.6,2.3,1.7,1,1.6,2.7,4.2,2.8,3.9,1.8,5.3,2.4,0.9,0.9,202.7,0,6.7
297,-3.79554050299996,-49.8041390256189,"Tucuruí",1508100,"PA","Amazônia",2052.21112,557.7,33.7,1.5,19.2,30.4,7.6,16.9,11.9,26.8,2.1,36.7,8.9,8.5,0.8,3.5,23.2,9.1,7.1,16.2,8.2,8.6,14.4,7.3,686.8,4.7,492.2
298,-3.80081560999997,-47.54575533668,"Ulianópolis",1508126,"PA","Amazônia",5097.40478,2393.2,77.2,271.3,19,226,104.6,86.7,28.9,135.8,43.5,19.2,22.9,30.7,11.1,3,22.5,18.1,15.4,6.5,18.3,57,74.8,17.2,1387,0,0
299,-3.57590412399995,-53.7430680568183,"Uruará",1508159,"PA","Amazônia",10778.69046,1011.7,463.5,31,791.2,121,116.6,93.5,154.9,90.4,99.1,68.5,38.3,51.9,47.3,14.4,53,63.8,88.6,81.6,154,133.4,139.6,193.6,6675.3,0,0.3
300,-0.944967083499961,-48.1198007948553,"Vigia",1508209,"PA","Amazônia",384.51513,163.9,28.1,2.3,13.9,1.4,2.3,2.8,0.8,1.5,0.1,0.3,0.2,0.2,0.6,0,1.3,0.2,0.2,0.1,0.2,0.5,0.3,0.4,128.3,16.5,18.6
301,-1.56335011799996,-46.4695690468313,"Viseu",1508308,"PA","Amazônia",4934.27699,3080,94.6,0.6,77.8,5.9,26.9,28.8,2.6,15,31.8,14.9,3.7,0.5,0.9,3.3,4.1,2.2,11,4.1,8.5,8.7,3.9,1.4,1341.2,38.4,55.8
302,-3.19116917799994,-51.8712278473625,"Vitória do Xingu",1508357,"PA","Amazônia",3223.74201,947.4,547.4,20,157.7,55.2,52.3,37,11.6,10.5,1.5,9.5,53.1,5.1,9.3,16.9,47.7,10.7,7.2,4.3,7.3,8.4,4.3,3.2,1077.2,0.1,125.9
303,-6.84923190199996,-49.2556227675,"Xinguara",1508407,"PA","Amazônia",3788.70434,3140.3,25.6,43.4,2.7,38.5,72.6,11.2,17.5,4.7,4.4,3.7,0.8,1.4,0.6,2.2,1.1,0.2,1.4,0.9,1.3,1.5,0.9,2.4,380.2,0,21.7
304,1.64077008400005,-52.2696855708338,"Serra do Navio",1600055,"AP","Amazônia",7748.77823,37.3,16.8,0,0.2,5.6,0.2,0.5,0.7,0.3,0.5,0.1,0.1,0,0.3,0.4,0.1,0.1,0.1,0.2,0.5,0.1,0.3,0.2,7666.8,0,7.6
305,1.6696552098988,-50.2451138263128,"Amapá",1600105,"AP","Amazônia",8551.50158,37.5,0,0,54.3,1.6,1.2,6.5,1.8,1.9,1.9,1.8,0.2,0,0.5,0.7,0.3,0.1,0.2,0,0.7,0,0,0,3228.4,4913.3,298.7
306,1.23414193350004,-52.6878764988513,"Pedra Branca do Amapari",1600154,"AP","Amazônia",9636.18631,132.5,67.2,0.1,0.2,15.9,1.9,2.2,12.1,3.7,4.7,1.9,1.3,0.8,3.1,5.1,1.1,1.4,1.4,2,4.9,1,2,3.3,9372.1,0,6.4
307,2.61534264727505,-51.2424406971039,"Calçoene",1600204,"AP","Amazônia",14133.36923,13.3,55,0.6,57.1,5.8,6.7,2,13.1,6.3,8.1,11.9,1,1.1,3,1.8,0.9,0.6,3,2,2.1,1.1,1.1,1.7,11660,2204.7,68
308,1.06820366550005,-50.3382473467251,"Cutias",1600212,"AP","Amazônia",2150.81368,135.4,0,0,45.1,0.6,0.9,3.1,1,2.3,0.2,4.9,0.3,0,0.2,1.4,0.5,1.3,0.1,0.5,0.8,0.4,0.1,0.3,417,1440.7,103
309,0.873076230500033,-51.2087666737427,"Ferreira Gomes",1600238,"AP","Amazônia",4982.08509,97,5,0.5,19.1,3,2.8,2.8,0.7,2.6,1.1,2.3,0.5,0.2,0.3,0.6,3.6,1,0,0.4,1.3,0.4,0.1,0.7,3122.2,1643.3,70.4
310,0.495937116500045,-50.6226977244001,"Itaubal",1600253,"AP","Amazônia",1515.39587,39.2,19.7,21.7,2.7,0.1,0.3,0.5,0.5,0.2,0,3.9,0.4,0.2,0,0.2,0,0,0,1.8,0,0,0.1,0,267.5,734.9,417.6
311,0.778133389500056,-52.9676244803801,"Laranjal do Jari",1600279,"AP","Amazônia",30634.84243,126.2,1.9,1.4,25.6,3.5,2.6,1.5,3.7,9.1,5,5,1.7,3.4,0.8,3.7,1.5,0.7,1.8,1.7,1.5,0.4,2.2,1.7,30208.4,157,63.4
312,0.572861511000042,-50.9529528738215,"Macapá",1600303,"AP","Amazônia",6385.74584,252.6,5.8,34.7,63.6,12,8.7,5.7,4.6,6.7,0.7,10.4,0.8,2.4,1.4,2.6,3.1,1.7,0.6,4,7.2,1.4,0.9,0.5,1843.5,3215.2,899.3
313,-0.0431909139999505,-51.9773999552059,"Mazagão",1600402,"AP","Amazônia",13186.57198,57.3,1.8,2.9,12.1,1,1.7,2.6,5.6,15.6,5.9,1.2,1.5,4.5,1,3.2,1.9,1.3,1.5,4.6,2.3,0.7,2.5,2.7,11435.9,1344.4,268.7
314,3.20910279400007,-51.7689948644236,"Oiapoque",1600501,"AP","Amazônia",22946.08786,8.3,39.3,0,13.9,5.8,3.5,3.8,6,11.7,4.1,5,2.1,2.4,4.9,2.5,1.3,0.5,1.6,2.4,7.2,0.7,0.7,1.6,18527.2,3957.1,234
315,0.614607383000049,-51.5024904526699,"Porto Grande",1600535,"AP","Amazônia",4449.88826,214.4,20.9,3.9,33.2,17.9,20.1,5.2,22.9,14.4,4.6,1.7,2.5,2.7,1.9,2.4,0.6,0.8,3,1.1,2.7,0.6,2.2,0.6,3396.7,659.3,20.2
316,1.61228835150007,-50.7360186084746,"Pracuúba",1600550,"AP","Amazônia",4835.32157,37.6,0,0,14.3,5.2,0.3,0.9,2.8,5.1,2.4,3.4,0.7,0,2.1,1,0.9,0.2,0.2,0.2,1.3,0.6,0.2,0,3498.6,1182.7,69
317,0.171667349500041,-51.4221945299543,"Santana",1600600,"AP","Amazônia",1597.53082,52.1,1.3,2.5,2.5,0.3,1.7,1.9,0.8,5,0.2,0.3,0.1,0.2,0.2,0.5,0,0.3,0.2,0.5,0.1,0.3,0.1,0,533.2,947.8,38.3
318,1.30947103750006,-50.9327695680265,"Tartarugalzinho",1600709,"AP","Amazônia",6784.85968,129.2,21.1,0,73.6,21.1,6.3,8,10.7,13.7,6.1,11.9,2.1,0.7,4,2.3,2.9,1.1,2.4,1.7,5.9,1.4,0.9,0.2,3021.9,3254.3,172
319,-1.01532953649993,-52.0478757594933,"Vitória do Jari",1600808,"AP","Amazônia",2453.96355,176.6,0,0,8.2,2.1,1.3,0.9,5.6,1.3,1.8,6.4,1.1,1,0.7,0.6,0.4,1.3,1.1,1.4,0.5,1.1,2.7,0.5,1711.6,387.2,139.1
320,-9.46745899749996,-49.3405561371705,"Abreulândia",1700251,"TO","Cerrado",1902.63695,121.6,19.6,19.6,42.1,42.1,47.4,47.4,19,19,36.3,36.3,15.3,15.3,30.2,27.3,82.6,30.8,35.4,30.6,20.3,39.3,29.9,33.3,1059.3,0,2
321,-6.50221630949994,-47.5032029449339,"Aguiarnópolis",1700301,"TO","Cerrado",234.21895,121.2,2.6,2.6,2.1,2.1,3.8,3.8,2.3,2.3,1.3,1.3,0.6,0.6,0.3,0.8,2.1,0.6,1.6,0.3,2.3,0.3,0.9,1.6,70.3,0,6.4
322,-11.354831347,-48.8395565418866,"Aliança do Tocantins",1700350,"TO","Cerrado",1622.01753,529.4,38,38,14.3,14.3,16.1,16.1,19.3,19.3,14.4,14.4,10.8,10.8,23.8,28.7,32.1,13.6,15.8,8.5,8,6.3,8.6,6,711.3,0,4.5
323,-11.4740055459999,-47.3016562390776,"Almas",1700400,"TO","Cerrado",4015.35906,118.9,14,14,28.5,28.5,28.6,28.6,10.3,10.3,15.1,15.1,27.4,27.4,72.2,62.4,98.7,28.7,30.4,18.7,18.2,14.3,40.7,58.8,3194.5,0,10.5
324,-12.4061065645,-49.11284310463,"Alvorada",1700707,"TO","Cerrado",1207.1805,609.7,37.1,37.1,24,24,6.5,6.5,4.7,4.7,6.4,6.4,5,5,8.9,14.6,21.3,2.1,4.4,3.3,0.8,1.8,4.6,2.4,353.7,0,12
325,-6.19267773999993,-48.2845169887823,"Ananás",1701002,"TO","Amazônia",1197.04942,1025.5,10.3,5.3,0.6,1.4,1.8,0,0.4,4.6,0.2,0,0.2,0.2,0.1,0,0.1,0,0,0,0.3,0.3,0.1,0.4,-6.3,13.9,32.7
326,-6.27398021899995,-47.9966874997124,"Ananás",1701002,"TO","Cerrado",387.28058,110.6,5.7,5.7,0.4,0.4,0.4,0.4,1,1,7.3,7.3,16.4,16.4,1.8,2.3,2,0.2,0.1,1.2,0.1,8.6,10.9,0.2,186.4,0,0
327,-6.52352324349994,-48.0043518077109,"Angico",1701051,"TO","Amazônia",37.35367,28.7,0,0.6,0.6,0,0.2,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,-165.1,5.1,0
328,-6.42067329149995,-47.8990609379086,"Angico",1701051,"TO","Cerrado",415.11893,181.2,2.5,2.5,4.2,4.2,6.5,6.5,5,5,0.9,0.9,6.2,6.2,6.5,4.5,2.6,2.4,0.8,4.3,2.2,1.2,1.4,1.2,156.3,0,0.1
329,-9.97639543899996,-48.0248180338536,"Aparecida do Rio Negro",1701101,"TO","Cerrado",1155.11493,256.8,7.8,7.8,39.1,39.1,7.4,7.4,10.2,10.2,7.4,7.4,19.6,19.6,32,16.1,19.9,13.2,9.9,4.9,10.1,7.6,3.8,4.2,592,0,1.7
330,-6.98787757199995,-48.5250874264847,"Aragominas",1701309,"TO","Amazônia",1167.24365,793,31.5,45.3,3.8,17.3,78.3,0.6,6.2,10.8,3.5,5.6,2.6,1.8,3.2,1.3,1.8,1.3,1.9,1,0.3,1.6,0.9,1.7,117.5,18,5.5
331,-8.90887244949994,-49.5809814699614,"Araguacema",1701903,"TO","Cerrado",2773.61558,438,21.9,21.9,62.5,62.5,70.3,70.3,19.8,19.8,46.3,46.3,6,6,26.5,18.9,54.9,60.4,23.9,17.3,23.8,20.9,42.9,33.4,1485.6,0,73.1
332,-12.8405823145,-49.7674249153015,"Araguaçu",1702000,"TO","Cerrado",5150.70314,2148.7,137.9,137.9,122.4,122.4,53,53,51.8,51.8,53.7,53.7,26.8,26.8,65.7,66.3,75,18.5,29.9,30.1,21.1,10.8,17,19.5,1740.1,0,15.9
333,-7.24834585699995,-48.3739822698971,"Araguaína",1702109,"TO","Amazônia",2856.75121,2315.3,12.2,8.6,2.3,8.1,26.3,1.5,2.7,2.2,1.5,1.2,0.7,1,9.8,0.1,0.8,1,0.9,0.2,0.8,0.2,1,1.7,48.8,91,20.4
334,-7.27207023499997,-48.1727067640637,"Araguaína",1702109,"TO","Cerrado",1144.80991,386.4,11.2,11.2,13.1,13.1,16.6,16.6,7.1,7.1,6,6,6.8,6.8,17.6,64.8,10.4,6.4,4.1,7.2,7.4,4.6,5.9,8.2,497.7,0,1.7
335,-6.73293047999996,-48.555783998901,"Araguanã",1702158,"TO","Amazônia",842.29325,716,5.7,2.5,0,12.3,5.7,0.5,1.8,0.6,0.2,0.3,0.2,0.5,0,0.2,0,0,0,0.2,0.1,0.2,0,0.4,71.9,12.7,12.5
336,-5.64371467899995,-48.1349054886148,"Araguatins",1702208,"TO","Amazônia",1272.99919,939.1,19.9,5,14.5,14.3,7.9,0.3,4.5,11.9,4.5,7.7,1,1.1,0.8,1.6,0.6,1,2.2,0.9,1.6,1.5,1.6,2.5,-651.5,34,61.7
337,-5.73784112949997,-47.9345849951245,"Araguatins",1702208,"TO","Cerrado",1392.40751,803.8,9.2,9.2,20.5,20.5,15.5,15.5,9.2,9.2,13.8,13.8,3.1,3.1,10.1,6.3,5.5,11.8,7.8,9.1,3.8,6,9.4,7.4,368.1,0,0.1
338,-7.73051244899995,-49.0107231106604,"Arapoema",1702307,"TO","Amazônia",1558.62233,1459,0.8,0,0,0.4,1.1,0,0.2,0,0.1,0.3,0.2,0.5,0,1.3,0,2.1,0.4,0.2,0.3,0.1,0.1,0.3,64.6,0,24
339,-12.820556085,-46.925240995822,"Arraias",1702406,"TO","Cerrado",5804.01122,414.9,38.5,38.5,29.1,29.1,55.6,55.6,39.4,39.4,24.5,24.5,49.7,49.7,35,43.9,48.8,8.9,48.2,29.2,32.1,31.1,50.2,41.4,4535.9,0,10.7
340,-5.49452719449994,-47.9597590183476,"Augustinópolis",1702554,"TO","Amazônia",216.17369,199.9,1.4,0.7,3.8,0.4,1.1,0.5,0.4,0.3,0,0.2,0,0.1,0,0.5,0.3,0,0.2,0,0.2,0.1,0.1,0.4,-167.2,0,0
341,-5.52714235749997,-47.8762134825635,"Augustinópolis",1702554,"TO","Cerrado",180.69657,171,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0,0,0,0.1,0,0,0.1,0,0.2,0,0,0,6.4,0,0
342,-12.6359489165,-46.4805261342592,"Aurora do Tocantins",1702703,"TO","Cerrado",749.23876,151.9,30.3,30.3,6.4,6.4,13,13,9.4,9.4,3.2,3.2,4,4,7,4,3.2,1.8,1.9,0.9,1,1,4.2,4.6,434.5,0,0.1
343,-5.68061334999996,-47.7644174652787,"Axixá do Tocantins",1702901,"TO","Cerrado",149.9424,131.6,2.1,2.1,0.5,0.5,0.4,0.4,0.7,0.7,0.1,0.1,0.1,0.1,0,0.4,0.1,0,0,0.1,0,0.1,0.1,0.2,8.7,0,0
344,-7.16255409549996,-47.9099280565101,"Babaçulândia",1703008,"TO","Cerrado",1795.63037,87.8,23.3,23.3,20.5,20.5,59.5,59.5,7.1,7.1,9.4,9.4,35.1,35.1,11.5,5.5,21.8,10.3,9.6,7.8,7.1,31.1,14.4,20.2,1195.3,0,62.7
345,-7.99087878599994,-48.7199121730032,"Bandeirantes do Tocantins",1703057,"TO","Amazônia",1236.33749,1178.5,3.7,2,0.9,3.4,2.2,0.1,0.2,0.7,0,0.3,0,0,0,0,0,0,0,0,0.2,0,0,0,-264.8,0.3,0
346,-7.82491551249996,-48.5555694375738,"Bandeirantes do Tocantins",1703057,"TO","Cerrado",309.29221,306,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0
347,-7.71357525399995,-47.6416855224533,"Barra do Ouro",1703073,"TO","Cerrado",1104.63469,71.8,9.2,9.2,10,10,17.9,17.9,14.4,14.4,13.1,13.1,18.4,18.4,18.2,14.5,29.7,15.8,16.9,18.8,6.7,8.9,4.6,13.2,696.3,0,22.4
348,-9.89797434749994,-48.7800976006091,"Barrolândia",1703107,"TO","Cerrado",702.735,249,2.9,2.9,29.5,29.5,9.1,9.1,5.6,5.6,10.5,10.5,7.2,7.2,6.8,5.5,9.6,9,4.2,4,3.9,5.6,5.3,6,263.3,0,0.1
349,-7.99087878599994,-48.9902252186775,"Bernardo Sayão",1703206,"TO","Amazônia",920.3599,863,15.7,4.1,2.3,2.1,2.4,0.1,0,1,0.3,0.1,0,0,0,0,0,0.2,0,0,0,0.2,0,0.1,12.3,0,12.3
350,-9.00408791449996,-47.8601065074211,"Bom Jesus do Tocantins",1703305,"TO","Cerrado",1330.93326,148.4,10.2,10.2,21.6,21.6,13.6,13.6,14,14,12.9,12.9,14.3,14.3,31.3,17.1,21.4,19.1,15.5,20,20.8,16.6,15.2,18.1,807.6,0,5.5
351,-8.31835140549994,-48.5968900421687,"Brasilândia do Tocantins",1703602,"TO","Amazônia",50.0268,48.9,0.1,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168.9,0,0
352,-8.27419957299995,-48.4560021361683,"Brasilândia do Tocantins",1703602,"TO","Cerrado",592.83853,204.4,2.8,2.8,14.2,14.2,6.9,6.9,6.2,6.2,11,11,5.1,5.1,5.5,10.2,2.6,6.6,0.6,0.8,0.6,2.8,0.6,2.2,262.7,0,0
353,-11.0672396669999,-48.6914132975512,"Brejinho de Nazaré",1703701,"TO","Cerrado",1726.23969,472.7,42.5,42.5,8.3,8.3,17,17,22.7,22.7,5.5,5.5,30,30,30.8,25.8,21.3,5.4,14.5,5.1,4.8,4.3,6.7,6.5,819.3,0,56.7
