"Nr","Lat","Long","Municipio","CodIbge","Estado","Bioma","AreaKm2","Desmatamento2000","incremento2001","incremento2002","incremento2003","incremento2004","incremento2005","incremento2006","incremento2007","incremento2008","incremento2009","incremento2010","incremento2011","incremento2012","incremento2013","incremento2014","incremento2015","incremento2016","incremento2017","incremento2018","incremento2019","incremento2020","incremento2021","incremento2022","Floresta2022","NaoFloresta","Hidrografia"
106,-2.55415000199997,-58.6373089850513,"Itapiranga",1302009,"AM","Amazônia",4473.59391,114.8,9.4,4.8,4.2,1.2,0.7,0.3,0.8,1.2,0.3,1.2,1.1,0.4,1.4,0.8,0.8,0,1.1,0.2,0.9,0.2,1.6,1.7,3909.7,163.3,254
107,-1.38613543849995,-68.7939437839397,"Japurá",1302108,"AM","Amazônia",55750.81465,42.1,1.6,0.9,1.4,0.4,1.9,0.1,0.4,1.5,0.5,3.6,1.3,0.4,0.2,0.5,0,0.2,0.6,1,0.5,2.2,4.3,13.3,54194.8,2.6,1472
108,-3.36877055549994,-66.445608663472,"Juruá",1302207,"AM","Amazônia",19387.02228,113.1,3.4,8.6,7.9,0.5,2.6,1.6,1,3,1.9,2.9,0.5,0.4,0.4,3.3,0.2,0.9,0.6,1.4,0.3,0.8,1.6,0.4,18362.9,140.8,724.3
109,-4.50597111099995,-68.2404740904444,"Jutaí",1302306,"AM","Amazônia",69562.43838,171.9,13.5,9.2,21.9,1.1,1.2,1,1,3.9,0.8,4.9,3.1,0.7,1.4,2.6,1.1,1.6,9.4,1.1,10.8,7.3,1.2,11.8,68084.4,87.5,1104.3
110,-8.38350249999995,-65.7099466392376,"Lábrea",1302405,"AM","Amazônia",68240.60463,1256.1,178.8,206.2,420.3,351.1,202.1,233.5,110.1,65.2,44.6,39.6,75.1,83.6,116.8,132.5,236.8,310.2,276.9,315.5,381.8,382.9,540.2,699.6,59249.9,1808,441.2
111,-3.27769017882459,-60.7112292762889,"Manacapuru",1302504,"AM","Amazônia",7327.49264,629,58.8,9.2,34.3,7.8,3.1,3.9,2.2,2.2,14.7,10.8,8.8,1.4,1.8,3.5,8,4.3,2.5,2,4.1,10.9,5.9,1.7,4250.4,808,1431.6
112,-3.74378257699993,-60.6728569824583,"Manaquiri",1302553,"AM","Amazônia",3978.46148,447.3,19.8,1.9,7.9,2.9,0.2,1.1,0.4,0.7,2,2,1.7,0.1,0.7,0.1,3.1,1,1,0.5,1.5,2,1.6,0.6,3076.2,106.3,289
113,-2.57345362699996,-60.3854896095834,"Manaus",1302603,"AM","Amazônia",11427.8209,1094.9,73.3,17.5,24.1,12.5,1.4,2.3,2.1,3,3.7,10.3,2.2,3.9,2.3,2.3,1.8,1.2,2,1,4.6,6.7,5.7,3.7,8584.8,2.3,1556.5
114,-6.78852944449994,-61.1094503014132,"Manicoré",1302702,"AM","Amazônia",48276.1277,1001.9,34.9,20.8,82.8,60.6,103.3,77.1,39,41,29.8,62.9,54.6,60.5,42.9,29.3,72.5,86,99.4,80.7,81.6,79.7,134.7,246.9,40649.5,4178.7,817.8
115,-2.62094917049996,-64.7036072203725,"Maraã",1302801,"AM","Amazônia",17100.58795,73.8,11.6,1.4,13.5,0.8,1.5,0.8,0.4,3,0.5,5.7,0.6,0.8,1.2,2.3,0.1,1.7,1,1.1,1,0.9,2,0.4,14617.9,596.6,1758.2
116,-5.24190777599995,-58.2011366913006,"Maués",1302900,"AM","Amazônia",40009.27026,1123.6,22.3,27.1,24.7,15.5,9.7,17.5,14,19.8,8.4,14.4,14.6,11,15.6,13.6,10,38.4,20.6,6.4,16,21.4,68,117,36176,868.4,1309.5
117,-1.08105604999997,-58.444562726296,"Nhamundá",1303007,"AM","Amazônia",14107.37183,424.5,9.5,3.7,5.8,3.9,5,2.9,2.4,0.8,4.4,13.7,4,2.7,2.6,2.7,4.9,1.4,1.8,4.8,3,3.8,4.6,9.1,12119,347.1,1121.5
118,-4.02714780449995,-58.5848584754951,"Nova Olinda do Norte",1303106,"AM","Amazônia",5558.37748,359.1,8.1,9.9,11.1,10.9,2.6,1.7,0.7,6.2,1.2,2.3,3.1,2.2,0.8,2.6,5.6,3.8,3.3,1.9,5.9,6.1,6.4,12.2,4391.3,280.1,418.1
119,-1.80112663649996,-61.0168024285323,"Novo Airão",1303205,"AM","Amazônia",37734.0871,78.2,23.8,0.8,4.7,1.8,0.1,0.2,1.1,0.9,1.9,2.7,1.2,0.5,0.6,1.2,0.6,0.9,1.5,0.6,3.1,0.7,1,0.7,36070.3,211.3,1322.8
120,-6.82845632199994,-60.2292633403044,"Novo Aripuanã",1303304,"AM","Amazônia",41236.70437,547.4,15.5,14.8,34.2,51.8,63.2,36.3,44.4,62.7,15.7,20.3,17.8,17.6,42.9,25.7,53.2,152.4,126.6,139.9,230.9,110.3,194.4,295,36532.8,1631.3,768.7
121,-2.78767105699995,-56.6823820227943,"Parintins",1303403,"AM","Amazônia",5952.64063,881,21.3,9,17.3,3,5.1,3,4.6,4.7,5.2,7.2,4.9,1.3,3.9,5.7,3.2,1.2,2.2,2.6,3.4,3,2.5,3.8,1518,1128.9,2305.4
122,-7.7649130554999,-68.1958620112237,"Pauini",1303502,"AM","Amazônia",41591.24497,146.7,7.6,9.8,12.3,6,8.8,4.1,7.9,3.1,3.2,5.1,5.7,9.5,4.8,9.5,6.5,5.6,13.6,8.1,10.3,21.1,28.1,31.2,40931.6,24.7,262.2
123,-1.22161598349996,-60.1141286136208,"Presidente Figueiredo",1303536,"AM","Amazônia",25511.13884,523.7,58.7,12.9,33,14.2,13.6,5.8,12.3,19,13.7,9.3,11.7,5.4,4.1,6.6,7.7,6.4,8.6,5.9,9.7,9.3,15,15.1,21250.5,1,3435.8
124,-2.51281492099994,-59.5990683619936,"Rio Preto da Eva",1303569,"AM","Amazônia",5804.26292,493.6,14.9,7.5,16.2,5.6,2.5,0.7,3.6,7.1,1.3,3.9,5.6,2.9,0.6,1.2,1.7,4,2.3,1.8,3.6,3,4.1,4.4,5193.1,0.1,11
125,-0.252781961999943,-64.9875781533865,"Santa Isabel do Rio Negro",1303601,"AM","Amazônia",62932.00044,184.7,5.8,2.5,6.8,1.7,1.3,0.3,0.5,1.3,0.1,5.7,1.9,1.4,0.1,0.9,0.5,0.5,0.7,0.7,3.1,1.1,1.7,0.1,61135.9,946.9,623.4
126,-3.08194861099994,-69.072560019094,"Santo Antônio do Içá",1303700,"AM","Amazônia",12306.32507,106.9,13.9,0.7,0.7,1.5,0.4,0.9,1.1,1,1.2,0.8,2.8,0.2,0,0,0.1,1,1.2,0.4,0.5,3,1.8,2,11633.5,89.4,435.9
127,0.353260555500043,-68.1697490259786,"São Gabriel da Cachoeira",1303809,"AM","Amazônia",108765.77612,1012.1,65.7,31,19,4.4,4.2,1,0.3,9.2,4.4,9.8,4,2.7,1.3,2,0.5,1.7,0.9,1.8,6.3,6.3,5.6,2.4,105610,480.1,1444.9
128,-4.74192472199996,-69.5258243814766,"São Paulo de Olivença",1303908,"AM","Amazônia",19868.4909,111.8,12.9,48.4,1.1,2.7,1,0.9,1,0.3,0.7,0.9,0.9,0.6,0.3,0.7,0.4,1.6,1,0.2,2.9,3.5,1.8,0.8,19051.7,81.2,544.3
