cod_ibge,id_mun,ano,casos
2101772,210177,2013,2
2101806,210180,2013,0
2101905,210190,2013,24
2101939,210193,2013,0
2101970,210197,2013,0
2102002,210200,2013,36
2102036,210203,2013,1
2102077,210207,2013,4
2102150,210215,2013,0
2102309,210230,2013,3
2102325,210232,2013,24
2102358,210235,2013,8
2102374,210237,2013,1
2102408,210240,2013,2
2102507,210250,2013,1
2102556,210255,2013,11
2102606,210260,2013,35
2102705,210270,2013,2
2102754,210275,2013,13
2102804,210280,2013,94
2102903,210290,2013,10
2103109,210310,2013,0
2103125,210312,2013,0
2103158,210315,2013,0
2103174,210317,2013,0
2103257,210325,2013,0
2103307,210330,2013,11
2103505,210350,2013,11
2103554,210355,2013,0
2103604,210360,2013,0
2103703,210370,2013,5
2103752,210375,2013,14
2103802,210380,2013,4
2104008,210400,2013,0
2104057,210405,2013,17
2104073,210407,2013,24
2104081,210408,2013,3
2104099,210409,2013,65
2104107,210410,2013,3
2104206,210420,2013,3
2104305,210430,2013,45
2104404,210440,2013,0
2104503,210450,2013,17
2104552,210455,2013,21
2104602,210460,2013,8
2104628,210462,2013,0
2104651,210465,2013,6
2104677,210467,2013,3
2104701,210470,2013,10
2104800,210480,2013,61
2104909,210490,2013,4
2105104,210510,2013,12
2105153,210515,2013,85
2105203,210520,2013,36
2105302,210530,2013,238
2105351,210535,2013,37
2105401,210540,2013,5
2105427,210542,2013,0
2105450,210545,2013,5
2105476,210547,2013,0
2105500,210550,2013,12
2105609,210560,2013,5
2105658,210565,2013,1
2105708,210570,2013,23
2105807,210580,2013,3
2105906,210590,2013,0
2105948,210594,2013,0
2105963,210596,2013,8
2105989,210598,2013,5
2106003,210600,2013,0
2106102,210610,2013,0
2106201,210620,2013,0
2106326,210632,2013,21
2106359,210635,2013,0
2106375,210637,2013,3
2106508,210650,2013,1
2106631,210663,2013,0
2106706,210670,2013,3
2106755,210675,2013,5
2106805,210680,2013,0
2106904,210690,2013,2
2107001,210700,2013,6
2107100,210710,2013,5
2107258,210725,2013,0
2107308,210730,2013,4
2107357,210735,2013,1
2107407,210740,2013,0
2107456,210745,2013,1
2107506,210750,2013,87
2107605,210760,2013,0
2107704,210770,2013,26
2108009,210800,2013,8
2108108,210810,2013,9
2108207,210820,2013,56
2108256,210825,2013,1
2108306,210830,2013,3
2108405,210840,2013,5
2108454,210845,2013,1
2108504,210850,2013,14
2108603,210860,2013,3
2108702,210870,2013,4
2108801,210880,2013,3
2108900,210890,2013,3
2109007,210900,2013,7
2109056,210905,2013,17
2109106,210910,2013,6
2109205,210920,2013,0
2109239,210923,2013,4
2109270,210927,2013,0
2109304,210930,2013,3
2109452,210945,2013,8
2109502,210950,2013,35
2109551,210955,2013,2
2109601,210960,2013,18
2109700,210970,2013,0
2109759,210975,2013,5
2109809,210980,2013,10
2109908,210990,2013,21
2110005,211000,2013,7
2110039,211003,2013,11
2110203,211020,2013,0
2110302,211030,2013,2
2110500,211050,2013,0
2110658,211065,2013,0
2110708,211070,2013,14
2110807,211080,2013,0
2110856,211085,2013,5
2111003,211100,2013,0
2111029,211102,2013,1
2111052,211105,2013,10
2111078,211107,2013,16
2111201,211120,2013,65
2111250,211125,2013,5
2111300,211130,2013,1096
2111409,211140,2013,2
2111508,211150,2013,2
2111532,211153,2013,9
2111573,211157,2013,42
2111607,211160,2013,1
2111631,211163,2013,2
2111672,211167,2013,0
2111706,211170,2013,0
2111722,211172,2013,0
2111748,211174,2013,4
2111763,211176,2013,4
2111789,211178,2013,0
2111805,211180,2013,16
2111904,211190,2013,1
2112001,211200,2013,1
2112100,211210,2013,14
2112233,211223,2013,19
2112274,211227,2013,0
2112308,211230,2013,15
2112407,211240,2013,2
2112456,211245,2013,3
2112704,211270,2013,12
2112803,211280,2013,5
2112852,211285,2013,42
2112902,211290,2013,3
2113009,211300,2013,4
2114007,211400,2013,23
5100102,510010,2013,19
5100201,510020,2013,256
5100250,510025,2013,1472
5100300,510030,2013,59
5100359,510035,2013,26
5100409,510040,2013,93
5100508,510050,2013,66
5100607,510060,2013,66
5100805,510080,2013,10
5101001,510100,2013,47
5101209,510120,2013,0
5101258,510125,2013,94
5101308,510130,2013,23
5101407,510140,2013,127
5101605,510160,2013,3
5101704,510170,2013,258
5101803,510180,2013,997
5101852,510185,2013,35
5101902,510190,2013,102
5102504,510250,2013,592
5102603,510260,2013,21
5102637,510263,2013,1220
5102678,510267,2013,574
5102686,510268,2013,162
5102694,510269,2013,36
5102702,510270,2013,205
5102793,510279,2013,127
5102850,510285,2013,65
5103007,510300,2013,24
5103056,510305,2013,91
5103106,510310,2013,0
5103205,510320,2013,458
5103254,510325,2013,173
5103304,510330,2013,377
5103353,510335,2013,299
5103361,510336,2013,5
5103379,510337,2013,31
5103403,510340,2013,3638
5103437,510343,2013,15
5103452,510345,2013,4
5103502,510350,2013,139
5103601,510360,2013,40
5103700,510370,2013,159
5103809,510380,2013,11
5103858,510385,2013,195
5103908,510390,2013,15
5103957,510395,2013,13
5104104,510410,2013,786
5104203,510420,2013,1
5104500,510450,2013,14
5104526,510452,2013,70
5104542,510454,2013,77
5104559,510455,2013,170
5104609,510460,2013,74
5104807,510480,2013,433
5104906,510490,2013,33
5105002,510500,2013,129
5105101,510510,2013,102
5105150,510515,2013,787
5105176,510517,2013,67
5105200,510520,2013,56
5105234,510523,2013,14
5105259,510525,2013,841
5105309,510530,2013,7
5105507,510550,2013,134
5105580,510558,2013,590
5105606,510560,2013,336
5105622,510562,2013,401
5105903,510590,2013,24
5106000,510600,2013,21
5106109,510610,2013,9
5106158,510615,2013,225
5106174,510617,2013,0
5106182,510618,2013,42
5106190,510619,2013,132
5106208,510620,2013,19
5106216,510621,2013,472
5106224,510622,2013,356
5106232,510623,2013,95
5106240,510624,2013,376
5106257,510625,2013,76
5106265,510626,2013,7
5106273,510627,2013,51
5106281,510628,2013,27
5106299,510629,2013,398
5106307,510630,2013,175
5106315,510631,2013,4
5106372,510637,2013,46
5106422,510642,2013,86
5106455,510645,2013,4
5106505,510650,2013,55
5106653,510665,2013,150
5106703,510670,2013,5
5106752,510675,2013,1104
5106778,510677,2013,293
5106802,510680,2013,6
5106828,510682,2013,107
5106851,510685,2013,24
5107008,510700,2013,175
5107040,510704,2013,932
5107065,510706,2013,84
5107107,510710,2013,152
5107156,510715,2013,11
5107180,510718,2013,18
5107198,510719,2013,36
5107206,510720,2013,22
5107248,510724,2013,38
5107263,510726,2013,49
5107297,510729,2013,9
5107305,510730,2013,71
5107354,510735,2013,156
5107404,510740,2013,4
5107578,510757,2013,266
5107602,510760,2013,1836
