cod_ibge,id_mun,ano,obitos
2109452,210945,2017,0
2110005,211000,2017,0
2110708,211070,2017,0
2111029,211102,2017,0
2111052,211105,2017,0
2111201,211120,2017,0
2111300,211130,2017,1
2111409,211140,2017,0
2112233,211223,2017,0
2112902,211290,2017,0
2113009,211300,2017,1
5100250,510025,2017,1
5100409,510040,2017,0
5100508,510050,2017,0
5101308,510130,2017,0
5101803,510180,2017,0
5101902,510190,2017,0
5102504,510250,2017,0
5102603,510260,2017,0
5102637,510263,2017,0
5102678,510267,2017,0
5102694,510269,2017,0
5102702,510270,2017,1
5103007,510300,2017,0
5103205,510320,2017,0
5103254,510325,2017,0
5103304,510330,2017,0
5103353,510335,2017,0
5103403,510340,2017,1
5103502,510350,2017,0
5103809,510380,2017,0
5103858,510385,2017,0
5104104,510410,2017,0
5104807,510480,2017,0
5105002,510500,2017,0
5105101,510510,2017,0
5105150,510515,2017,0
5105259,510525,2017,0
5105606,510560,2017,0
5106000,510600,2017,0
5106190,510619,2017,0
5106216,510621,2017,0
5106224,510622,2017,0
5106265,510626,2017,0
5106273,510627,2017,0
5106422,510642,2017,0
5106505,510650,2017,0
5106653,510665,2017,0
5106752,510675,2017,0
5106778,510677,2017,0
5107008,510700,2017,0
5107040,510704,2017,0
5107065,510706,2017,0
5107602,510760,2017,0
5107768,510776,2017,0
5107859,510785,2017,0
5107875,510787,2017,0
5107883,510788,2017,0
5107909,510790,2017,2
5107925,510792,2017,0
5107958,510795,2017,0
5108303,510830,2017,0
5108402,510840,2017,0
5108501,510850,2017,0
1100015,110001,2018,0
1100023,110002,2018,0
1100049,110004,2018,0
1100056,110005,2018,0
1100098,110009,2018,0
1100106,110010,2018,0
1100114,110011,2018,0
1100122,110012,2018,0
1100148,110014,2018,0
1100155,110015,2018,0
1100205,110020,2018,0
1100288,110028,2018,0
1100304,110030,2018,0
1100320,110032,2018,0
1100346,110034,2018,0
1100502,110050,2018,0
1100940,110094,2018,1
1101450,110145,2018,0
1101484,110148,2018,0
1101492,110149,2018,0
1200054,120005,2018,0
1200104,120010,2018,0
1200203,120020,2018,0
1200302,120030,2018,2
1200385,120038,2018,0
1200401,120040,2018,1
1300029,130002,2018,0
1300607,130060,2018,0
1301209,130120,2018,0
1301407,130140,2018,0
1301704,130170,2018,1
1301803,130180,2018,0
1301902,130190,2018,0
1302306,130230,2018,0
1302405,130240,2018,0
1302504,130250,2018,0
1302603,130260,2018,0
1302702,130270,2018,0
1303403,130340,2018,0
1303809,130380,2018,0
1303908,130390,2018,0
1304062,130406,2018,1
1304104,130410,2018,1
1304203,130420,2018,0
1400050,140005,2018,0
1400100,140010,2018,0
1500206,150020,2018,0
1500602,150060,2018,0
1500800,150080,2018,0
1501402,150140,2018,0
1501576,150157,2018,0
1502608,150260,2018,0
1503309,150330,2018,1
1503507,150350,2018,0
1503606,150360,2018,0
1504208,150420,2018,0
1504604,150460,2018,0
1504802,150480,2018,0
1505205,150520,2018,0
1505304,150530,2018,0
1506195,150619,2018,0
1507300,150730,2018,0
1507953,150795,2018,0
1508050,150805,2018,0
1508084,150808,2018,0
1508159,150815,2018,0
1508357,150835,2018,0
1600279,160027,2018,0
1600303,160030,2018,0
1600501,160050,2018,0
1600535,160053,2018,0
1600600,160060,2018,0
1700251,170025,2018,0
1702109,170210,2018,0
1702208,170220,2018,0
1703701,170370,2018,0
1703883,170388,2018,0
1705508,170550,2018,0
1707009,170700,2018,0
1707108,170710,2018,0
1707207,170720,2018,0
1707306,170730,2018,0
1709302,170930,2018,0
1709500,170950,2018,0
1710508,171050,2018,0
1713205,171320,2018,0
1716109,171610,2018,0
1716505,171650,2018,0
1716604,171660,2018,0
1717909,171790,2018,0
1718204,171820,2018,1
1718501,171850,2018,0
1718709,171870,2018,0
1720259,172025,2018,0
1720655,172065,2018,0
1721000,172100,2018,1
1721109,172110,2018,0
1721208,172120,2018,0
1722107,172210,2018,0
2100600,210060,2018,0
2101004,210100,2018,0
2101608,210160,2018,0
2102705,210270,2018,0
2103257,210325,2018,0
