cod_ibge,id_mun,nome_mun,sigla_uf,id_uf,sigla_regiao,area_total,area_amazonia,pctg_amazonia
1503457,150345,Ipixuna do Pará,PA,15,N,5215.555,5215.555,100.0
1503507,150350,Irituia,PA,15,N,1385.209,1385.209,100.0
1503606,150360,Itaituba,PA,15,N,62042.472,62042.472,100.0
1503705,150370,Itupiranga,PA,15,N,7880.109,7880.109,100.0
1503754,150375,Jacareacanga,PA,15,N,53304.563,53304.563,100.0
1503804,150380,Jacundá,PA,15,N,2008.315,2008.315,100.0
1503903,150390,Juruti,PA,15,N,8305.454,8305.454,100.0
1504000,150400,Limoeiro do Ajuru,PA,15,N,1490.186,1490.186,100.0
1504059,150405,Mãe do Rio,PA,15,N,469.341,469.341,100.0
1504109,150410,Magalhães Barata,PA,15,N,323.984,323.984,100.0
1504208,150420,Marabá,PA,15,N,15128.058,15128.058,100.0
1504307,150430,Maracanã,PA,15,N,807.628,807.628,100.0
1504406,150440,Marapanim,PA,15,N,804.625,804.625,100.0
1504422,150442,Marituba,PA,15,N,103.214,103.214,100.0
1504455,150445,Medicilândia,PA,15,N,8272.629,8272.629,100.0
1504505,150450,Melgaço,PA,15,N,6774.065,6774.065,100.0
1504604,150460,Mocajuba,PA,15,N,871.171,871.171,100.0
1504703,150470,Moju,PA,15,N,9094.139,9094.139,100.0
1504752,150475,Mojuí dos Campos,PA,15,N,4988.236,4988.236,100.0
1504802,150480,Monte Alegre,PA,15,N,18152.559,18152.559,100.0
1504901,150490,Muaná,PA,15,N,3763.337,3763.337,100.0
1504950,150495,Nova Esperança do Piriá,PA,15,N,2808.195,2808.195,100.0
1504976,150497,Nova Ipixuna,PA,15,N,1564.184,1564.184,100.0
1505007,150500,Nova Timboteua,PA,15,N,489.853,489.853,100.0
1505031,150503,Novo Progresso,PA,15,N,38162.002,38162.002,100.0
1505064,150506,Novo Repartimento,PA,15,N,15398.723,15398.723,100.0
1505106,150510,Óbidos,PA,15,N,28011.041,28011.041,100.0
1505205,150520,Oeiras do Pará,PA,15,N,3852.291,3852.291,100.0
1505304,150530,Oriximiná,PA,15,N,107613.838,107613.838,100.0
1505403,150540,Ourém,PA,15,N,561.71,561.71,100.0
1505437,150543,Ourilândia do Norte,PA,15,N,14410.567,14410.567,100.0
1505486,150548,Pacajá,PA,15,N,11832.323,11832.323,100.0
1505494,150549,Palestina do Pará,PA,15,N,984.362,984.362,100.0
1505502,150550,Paragominas,PA,15,N,19342.565,19342.565,100.0
1505536,150553,Parauapebas,PA,15,N,6885.794,6885.794,100.0
1505551,150555,Pau D'Arco,PA,15,N,1671.419,1671.419,100.0
1505601,150560,Peixe-Boi,PA,15,N,450.224,450.224,100.0
1505635,150563,Piçarra,PA,15,N,3312.708,3312.708,100.0
1505650,150565,Placas,PA,15,N,7173.194,7173.194,100.0
1505700,150570,Ponta de Pedras,PA,15,N,3363.749,3363.749,100.0
1505809,150580,Portel,PA,15,N,25384.96,25384.96,100.0
1505908,150590,Porto de Moz,PA,15,N,17423.017,17423.017,100.0
1506005,150600,Prainha,PA,15,N,14786.953,14786.953,100.0
1506104,150610,Primavera,PA,15,N,258.6,258.6,100.0
1506112,150611,Quatipuru,PA,15,N,302.939,302.939,100.0
1506138,150613,Redenção,PA,15,N,3823.809,3823.809,100.0
1506161,150616,Rio Maria,PA,15,N,4114.627,4114.627,100.0
1506187,150618,Rondon do Pará,PA,15,N,8246.394,8246.394,100.0
1506195,150619,Rurópolis,PA,15,N,7021.321,7021.321,100.0
1506203,150620,Salinópolis,PA,15,N,226.12,226.12,100.0
1506302,150630,Salvaterra,PA,15,N,918.563,918.563,100.0
1506351,150635,Santa Bárbara do Pará,PA,15,N,278.154,278.154,100.0
1506401,150640,Santa Cruz do Arari,PA,15,N,1076.652,1076.652,100.0
1506500,150650,Santa Izabel do Pará,PA,15,N,717.662,717.662,100.0
1506559,150655,Santa Luzia do Pará,PA,15,N,1346.502,1346.502,100.0
1506583,150658,Santa Maria das Barreiras,PA,15,N,10330.214,10330.214,100.0
1506609,150660,Santa Maria do Pará,PA,15,N,457.724,457.724,100.0
1506708,150670,Santana do Araguaia,PA,15,N,11591.441,11591.441,100.0
1506807,150680,Santarém,PA,15,N,17898.389,17898.389,100.0
1506906,150690,Santarém Novo,PA,15,N,229.51,229.51,100.0
