cod_ibge,nome_mun,sigla_uf,rede_geral_2022,fossa_2022,outra_2022,nada_2022,rede_geral_2010,fossa_2010,outra_2010,nada_2010,rede_geral_2000,fossa_2000,outra_2000,nada_2000
1301209,Coari,AM,33.28,6.48,58.57,1.67,35.81,5.27,49.040000000000006,9.88,27.31,0.97,39.720000000000006,32.0
1301308,Codajás,AM,36.51,3.9,57.3,2.3,24.77,1.32,48.84,25.08,10.22,7.27,56.7,25.81
1301407,Eirunepé,AM,0.54,0.47,91.86,7.13,1.68,11.59,63.36,23.36,0.62,8.72,49.6,41.08
1301506,Envira,AM,0.91,0.26,90.03,8.79,1.22,6.43,79.5,12.86,1.19,3.92,32.800000000000004,62.08
1301605,Fonte Boa,AM,1.48,9.11,85.56,3.85,1.15,1.1,72.58,25.15,0.11,0.15,33.5,66.23
1301654,Guajará,AM,2.99,1.69,94.38,0.94,0.53,7.69,87.57,4.21,0.0,1.49,60.370000000000005,38.15
1301704,Humaitá,AM,11.54,12.76,71.78,3.93,4.96,11.3,79.47000000000001,4.28,1.32,23.01,59.88999999999999,15.78
1301803,Ipixuna,AM,2.58,0.1,87.83,9.49,1.13,0.38,77.02,21.47,0.04,3.11,55.74,41.1
1301852,Iranduba,AM,4.23,29.35,65.94,0.49,2.05,12.33,81.28999999999999,4.32,0.5,28.39,60.11,11.0
1301902,Itacoatiara,AM,8.17,26.19,65.19,0.45,3.74,17.03,77.09,2.13,0.95,33.5,60.75,4.8
1301951,Itamarati,AM,0.99,1.46,74.63000000000001,22.93,3.95,1.85,67.07,27.13,1.67,2.2,47.24,48.9
1302009,Itapiranga,AM,8.73,16.89,73.72,0.65,0.4,6.23,90.49,2.89,0.08,25.73,66.49,7.7
1302108,Japurá,AM,1.96,9.91,75.27,12.85,0.79,15.81,66.25,17.15,0.26,5.65,45.88,48.19
1302207,Juruá,AM,22.62,0.87,75.05,1.46,7.93,6.17,65.64,20.26,0.17,2.27,42.150000000000006,55.41
1302306,Jutaí,AM,1.28,0.97,92.64,5.12,0.76,0.22,74.66,24.36,1.56,2.45,41.57000000000001,54.42
1302405,Lábrea,AM,28.71,6.4,56.38,8.51,14.1,5.86,62.17,17.88,5.56,10.2,51.71,32.54
1302504,Manacapuru,AM,13.17,10.08,76.42,0.33,8.13,16.49,71.62,3.75,8.12,16.38,68.54,6.96
1302553,Manaquiri,AM,1.53,5.99,91.53000000000002,0.93,1.62,6.3,86.02000000000001,6.06,0.31,4.83,80.96000000000001,13.9
1302603,Manaus,AM,50.6,20.63,28.69,0.08,40.91,22.42,35.86,0.8,32.55,36.73,25.83,4.89
1302702,Manicoré,AM,1.22,11.76,85.61,1.41,1.15,7.19,83.61,8.04,0.34,12.96,57.38,29.33
1302801,Maraã,AM,7.41,6.59,81.63,4.37,9.6,13.0,41.89,35.52,2.07,0.74,59.330000000000005,37.84
1302900,Maués,AM,17.73,12.34,69.45,0.48,1.96,27.23,68.49000000000001,2.33,0.15,20.94,69.18,9.72
1303007,Nhamundá,AM,4.6,11.09,83.78,0.53,0.58,17.02,80.97999999999999,1.43,0.0,13.26,78.86,7.88
1303106,Nova Olinda do Norte,AM,6.27,7.15,85.82000000000001,0.77,6.25,8.8,78.22999999999999,6.73,0.39,2.46,85.32,11.83
1303205,Novo Airão,AM,10.18,11.96,65.42999999999999,12.44,0.82,15.61,67.57,15.99,1.54,30.82,50.470000000000006,17.16
1303304,Novo Aripuanã,AM,14.9,12.33,70.17999999999999,2.59,10.01,4.94,66.91,18.14,2.12,2.37,54.84,40.68
1303403,Parintins,AM,10.0,36.32,53.38,0.31,1.62,18.9,77.91,1.56,1.16,26.83,67.95,4.06
1303502,Pauini,AM,5.68,11.92,68.44,13.96,5.58,20.89,44.38000000000001,29.16,0.47,1.23,40.31,57.99
1303536,Presidente Figueiredo,AM,31.26,33.94,33.790000000000006,1.0,27.65,9.89,58.54,3.92,18.37,43.25,26.7,11.69
1303569,Rio Preto da Eva,AM,8.48,34.6,55.68000000000001,1.24,0.97,9.04,87.02000000000001,2.97,0.29,32.84,59.81,7.04
1303601,Santa Isabel do Rio Negro,AM,3.91,1.09,56.97,38.03,1.07,7.18,37.11,54.64,0.47,12.77,15.63,71.13
1303700,Santo Antônio do Içá,AM,1.68,2.65,94.64,1.05,2.05,1.78,89.53,6.64,0.6,1.23,79.19,18.98
1303809,São Gabriel da Cachoeira,AM,3.32,9.72,47.65,39.31,3.27,9.84,36.1,50.79,1.12,18.95,15.54,64.39
1303908,São Paulo de Olivença,AM,5.44,7.74,81.60000000000001,5.21,2.33,2.72,71.34,23.62,1.6,5.74,61.52,31.14
1303957,São Sebastião do Uatumã,AM,0.75,15.72,82.55,0.98,0.82,0.98,95.32999999999998,2.88,0.0,17.4,78.56,4.04
1304005,Silves,AM,4.11,13.24,81.88000000000001,0.78,0.4,4.55,92.8,2.25,0.43,9.27,79.1,11.2
1304062,Tabatinga,AM,10.67,19.68,68.27000000000001,1.39,7.49,18.26,65.33,8.93,1.33,8.93,73.22999999999999,16.51
1304104,Tapauá,AM,5.59,1.96,87.03999999999999,5.4,17.87,0.87,69.03,12.22,3.87,1.8,46.85000000000001,47.48
