cod_ibge,nome_mun,sigla_uf,pop_residente_2022,area_km2_2022,densidade_hab_km2_2022,area_km2_2010,densidade_hab_km2_2010
5103361,Conquista D'Oeste,MT,3760,2684.676,1.4,2672.2,1.27
5103379,Cotriguaçu,MT,11011,9469.957,1.16,9460.5,1.58
5103403,Cuiabá,MT,650877,4327.448,150.41,3362.8,163.88
5103437,Curvelândia,MT,4903,357.128,13.73,359.8,13.53
5103452,Denise,MT,7014,1273.178,5.51,1307.2,6.52
5103502,Diamantino,MT,21941,8263.397,2.66,8230.0,2.47
5103601,Dom Aquino,MT,7872,2183.603,3.61,2204.2,3.71
5103700,Feliz Natal,MT,10521,11661.514,0.9,11462.4,0.95
5103809,Figueirópolis D'Oeste,MT,3187,891.448,3.58,899.4,4.22
5103858,Gaúcha do Norte,MT,8642,16908.375,0.51,16930.7,0.37
5103908,General Carneiro,MT,6037,4514.917,1.34,3794.9,1.32
5103957,Glória D'Oeste,MT,2905,833.13,3.49,853.8,3.67
5104104,Guarantã do Norte,MT,31024,4725.281,6.57,4735.3,6.8
5104203,Guiratinga,MT,10966,5043.899,2.17,5061.7,2.75
5104500,Indiavaí,MT,2213,592.495,3.74,603.3,3.97
5104526,Ipiranga do Norte,MT,7815,3422.016,2.28,3467.0,1.48
5104542,Itanhangá,MT,7539,2909.745,2.59,2898.1,1.82
5104559,Itaúba,MT,5020,4521.79,1.11,4528.4,1.01
5104609,Itiquira,MT,12236,8698.814,1.41,8722.5,1.32
5104807,Jaciara,MT,28569,2429.678,11.76,1653.5,15.51
5104906,Jangada,MT,7426,1114.302,6.66,1253.8,6.14
5105002,Jauru,MT,8367,1345.411,6.22,1302.1,8.03
5105101,Juara,MT,34906,22632.713,1.54,22641.2,1.45
5105150,Juína,MT,45869,26397.173,1.74,26395.8,1.49
5105176,Juruena,MT,10213,3207.837,3.18,3222.7,3.48
5105200,Juscimeira,MT,11480,2291.307,5.01,2206.0,5.18
5105234,Lambari D'Oeste,MT,4790,1810.547,2.65,1763.9,3.08
5105259,Lucas do Rio Verde,MT,83798,3674.596,22.8,3664.0,12.43
5105309,Luciara,MT,2509,4282.733,0.59,4243.1,0.52
5105507,Vila Bela da Santíssima Trindade,MT,16774,13484.71,1.24,13421.0,1.08
5105580,Marcelândia,MT,11396,12285.486,0.93,12281.2,0.98
5105606,Matupá,MT,20091,5228.272,3.84,5238.8,2.71
5105622,Mirassol d'Oeste,MT,26785,1085.486,24.68,1076.4,23.5
5105903,Nobres,MT,15492,3908.739,3.96,3892.1,3.85
5106000,Nortelândia,MT,5956,1336.754,4.46,1348.9,4.77
