cod_ibge,nome_mun,sigla_uf,area_urb_densa_km2,area_urb_pouco_densa_km2_2019,total_area_urb_km2_2019,lot_vazio_km2_2019,area_total_map_km2_2019,outros_km2_2019,vazios_intraurb_km2_2019,vazios_km2_2019
1600501,Oiapoque,AP,2.85,4.86,7.71,0.09,7.8,0.42,0.0,0.0
1600535,Porto Grande,AP,3.61,1.97,5.58,0.0,5.58,0.04,0.0,0.0
1600550,Pracuúba,AP,0.32,1.16,1.48,0.0,1.48,0.0,0.0,0.0
1600600,Santana,AP,15.46,3.51,18.97,0.12,19.09,1.49,0.0,0.0
1600709,Tartarugalzinho,AP,1.18,2.46,3.64,0.32,3.96,0.0,0.0,0.0
1600808,Vitória do Jari,AP,1.29,0.97,2.27,0.0,2.27,0.28,0.0,0.0
1700251,Abreulândia,TO,0.59,0.0,0.59,0.0,0.59,0.0,0.0,0.0
1700301,Aguiarnópolis,TO,1.76,0.0,1.76,0.0,1.76,0.0,0.0,0.0
1700350,Aliança do Tocantins,TO,2.1,0.44,2.53,0.0,2.53,0.0,0.0,0.0
1700400,Almas,TO,2.11,0.77,2.88,0.0,2.88,0.15,0.0,0.0
1700707,Alvorada,TO,3.93,0.63,4.56,0.0,4.56,1.5,0.22,0.69
1701002,Ananás,TO,2.87,0.11,2.99,0.0,2.99,0.0,0.0,0.0
1701051,Angico,TO,0.94,0.38,1.32,0.0,1.32,0.0,0.0,0.0
1701101,Aparecida do Rio Negro,TO,1.27,0.23,1.5,0.14,1.63,0.0,0.0,0.0
1701309,Aragominas,TO,0.89,0.21,1.1,0.0,1.1,0.0,0.0,0.0
1701903,Araguacema,TO,2.64,0.0,2.64,0.05,2.69,0.37,0.0,0.0
1702000,Araguaçu,TO,2.98,0.1,3.08,0.16,3.23,0.0,0.0,0.0
1702109,Araguaína,TO,45.31,7.76,53.07,7.76,60.83,1.96,0.25,0.0
1702158,Araguanã,MA,2.16,1.24,3.4,0.0,3.4,0.0,0.0,0.0
1702208,Araguatins,TO,8.05,2.39,10.44,0.52,10.96,0.41,0.0,0.0
1702307,Arapoema,TO,1.74,0.0,1.74,0.0,1.74,0.0,0.0,0.0
1702406,Arraias,TO,2.38,0.28,2.66,0.0,2.66,0.04,0.0,0.0
1702554,Augustinópolis,TO,4.68,0.97,5.64,0.0,5.64,0.06,0.0,0.0
