ano,codigo_ibge,nome_mun,agropecuaria,industria,servicos,admin,bruto_total,impostos,pib,pib_pc
2010,1300201,Atalaia do Norte,11408.692,2480.977,13007.798,40729.844,67627.311,1268.26,68895.572,4547.86
2010,1300300,Autazes,41343.091,5562.99,21487.01,82527.392,150920.483,3864.502,154784.984,4855.85
2010,1300409,Barcelos,8823.459,5595.596,13357.351,64420.772,92197.179,1465.651,93662.831,3642.34
2010,1300508,Barreirinha,21194.639,3709.43,18394.278,71136.854,114435.2,3547.493,117982.694,4312.08
2010,1300607,Benjamin Constant,21925.734,5551.723,22230.125,84251.926,133959.507,3181.632,137141.139,4107.13
2010,1300631,Beruri,15078.523,2704.725,11543.18,43212.242,72538.671,1469.099,74007.77,4774.69
2010,1300680,Boa Vista do Ramos,8342.04,1613.255,7459.513,36719.236,54134.044,941.725,55075.769,3691.16
2010,1300706,Boca do Acre,28060.794,14198.987,30586.767,74415.202,147261.75,4626.988,151888.738,5083.29
2010,1300805,Borba,37503.094,6053.735,24208.026,85191.747,152956.603,3575.348,156531.951,4543.48
2010,1300839,Caapiranga,20627.062,2699.747,8604.986,30606.598,62538.393,4322.205,66860.598,6128.94
2010,1300904,Canutama,5327.39,1675.662,8301.25,32964.626,48268.929,1124.709,49393.637,3881.01
2010,1301001,Carauari,33952.364,7069.387,25276.335,60341.25,126639.336,3058.111,129697.447,5046.59
2010,1301100,Careiro,31556.341,7981.131,19560.829,81144.73,140243.031,3483.565,143726.596,4404.6
2010,1301159,Careiro da Várzea,105539.871,7434.015,14047.015,57564.653,184585.554,3436.95,188022.504,7846.37
2010,1301209,Coari,66105.051,1228576.074,365750.16,245316.73,1905748.016,93045.43,1998793.445,26331.44
2010,1301308,Codajás,38429.272,5065.267,15906.595,53659.742,113060.875,7542.299,120603.174,5216.63
2010,1301407,Eirunepé,43831.914,6389.077,25345.886,73908.521,149475.399,2301.598,151776.997,4949.36
2010,1301506,Envira,15838.82,2755.272,11152.012,41339.813,71085.916,604.332,71690.248,4390.63
2010,1301605,Fonte Boa,16949.94,3409.434,14772.805,58932.884,94065.063,1596.906,95661.969,4221.81
2010,1301654,Guajará,8426.256,1390.682,7372.588,33787.841,50977.366,668.354,51645.72,3669.58
2010,1301704,Humaitá,29015.439,12755.354,62358.184,104513.274,208642.251,8907.81,217550.061,4931.32
2010,1301803,Ipixuna,8063.281,1938.365,8439.441,50339.074,68780.16,873.552,69653.712,3137.7
2010,1301852,Iranduba,87087.463,33343.111,60229.359,108520.834,289180.767,17264.862,306445.629,7522.91
2010,1301902,Itacoatiara,143098.093,146818.04,267345.714,229313.039,786574.886,63061.659,849636.545,9783.93
