geocode,state_acronym,feature_id,biome,class_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1100049,RO,58779,Amazônia,24,1548.741431,1573.902889,1587.667647,1603.798286,1624.663623,1635.973211,1695.413181,1708.563811,1734.251677,1760.728265,1794.482261,1875.401875,1958.689756,2154.808373,2198.204551,2300.33868,2363.283576,2398.613707,2568.251829,2599.198554,2652.23888,2647.592435,2698.177667
1100049,RO,58779,Amazônia,33,956.6256281,969.3384175,1002.915581,1022.641474,1035.003093,1046.225449,1047.185289,1064.195657,1082.870981,1044.470624,1074.979041,1078.835408,1088.218717,1014.050201,1051.575732,1066.210043,1090.667847,1058.230841,1101.366902,1132.7587,1096.639991,1098.91559,1207.523111
1100056,RO,58780,Amazônia,3,94327.25443,93070.18299,92232.73366,89937.38399,87893.85994,87397.99957,87115.3302,86896.45312,86723.86141,86695.9782,86650.10727,86617.5196,86680.84217,86666.91312,86575.30844,86243.59896,85442.66364,85101.54818,84859.49819,84529.90164,83977.14399,83210.95537,80513.45445
1100056,RO,58780,Amazônia,4,4733.270726,5589.731678,5216.20994,4078.780095,2932.180696,3338.165877,3503.62797,3029.367088,2974.287367,2844.296369,3127.111755,4167.919221,5174.250218,14228.83471,16841.39434,16379.37477,15174.26543,14201.66754,12800.13573,12630.55319,14379.3242,17478.6956,24651.4969
1100056,RO,58780,Amazônia,6,962.3458916,962.8690325,953.0242577,924.3595193,917.0431406,953.8088225,952.5885581,935.5106716,930.8926466,941.0876706,944.3991992,938.1255239,930.3718597,939.5204581,938.9102855,936.2109477,936.5601712,936.2112017,939.2601656,935.5136514,935.7753708,932.3782774,713.6751316
1100056,RO,58780,Amazônia,11,112833.438,111969.3338,112289.8681,113597.9797,114837.5627,114175.5728,114070.0592,114796.5481,115011.9543,115203.0541,114900.2581,113694.5294,112448.3194,102772.4484,99895.05439,99981.54585,100734.3706,101750.0668,103479.4189,103770.2294,102036.0568,98573.41656,89960.50689
1100056,RO,58780,Amazônia,12,853.0199242,965.4797821,877.9438806,729.3400033,703.2163584,803.5268652,761.5416431,694.3077699,720.5160607,697.6992839,722.348231,881.6354593,1034.856726,1374.714407,1610.017393,1822.467915,1998.702053,1782.350667,1442.306315,1367.063044,1570.737587,1851.261512,1296.843156
1100056,RO,58780,Amazônia,29,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502,6.795845502
1100056,RO,58780,Amazônia,15,61169.27461,60701.87072,60372.85705,62420.78311,62418.52428,58005.44444,54366.75539,52768.60626,52041.03282,49161.42432,47776.14404,47709.95388,46991.3841,45210.07914,42596.20629,40004.53029,40379.17227,40157.47243,39965.17217,39724.4874,39522.42841,40275.65818,44960.30808
1100056,RO,58780,Amazônia,39,912.9734039,1815.254803,3224.119214,3387.295705,3139.893532,6820.920952,8015.557257,8547.707327,8969.780312,13282.00012,14897.02673,9232.706101,5259.140103,5913.67172,10909.88408,27616.39426,29140.21282,29589.67032,29703.78545,30759.28,32371.75858,33294.654,34048.91043
