cod_ibge,nome_mun,sigla_uf,rede_geral_2000,rede_geral_2010,rede_geral_2022,outras_2000,outras_2010,outras_2022
1400100,Boa Vista,RR,95.87,96.03,93.72,4.12,3.97,6.28
1400159,Bonfim,RR,36.61,49.58,60.23,63.4,50.43,39.77
1400175,Cantá,RR,34.74,47.11,50.16,65.26,52.9,49.84
1400209,Caracaraí,RR,69.62,65.87,62.13,30.38,34.13,37.87
1400233,Caroebe,RR,47.19,52.58,60.51,52.81,47.43,39.49
1400282,Iracema,RR,67.66,55.5,53.47,32.34,44.49,46.53
1400308,Mucajaí,RR,57.65,66.9,64.97,42.36,33.1,35.03
1400407,Normandia,RR,37.05,46.12,59.36,62.95,53.88,40.64
1400456,Pacaraima,RR,63.79,75.22,71.37,36.22,24.79,28.63
1400472,Rorainópolis,RR,32.56,34.29,48.25,67.44,65.71,51.75
1400506,São João da Baliza,RR,70.75,67.13,64.46,29.25,32.88,35.54
1400605,São Luiz,RR,66.8,67.76,69.2,33.2,32.23,30.79
1400704,Uiramutã,RR,36.26,43.98,54.3,63.74,56.03,45.71
1500107,Abaetetuba,PA,31.63,26.66,17.36,68.37,73.34,82.64
1500131,Abel Figueiredo,PA,68.84,81.1,81.25,31.16,18.91,18.75
1500206,Acará,PA,17.76,31.63,24.56,82.24,68.38,75.44
1500305,Afuá,PA,20.4,25.97,17.82,79.6,74.02,82.18
1500347,Água Azul do Norte,PA,1.81,14.81,19.15,98.19,85.2,80.85
1500404,Alenquer,PA,34.62,32.67,19.68,65.38,67.32,80.32
1500503,Almeirim,PA,67.52,69.91,60.16,32.47,30.09,39.84
1500602,Altamira,PA,20.29,18.93,43.98,79.7,81.07,56.02
1500701,Anajás,PA,7.32,7.52,6.72,92.67,92.48,93.28
1500800,Ananindeua,PA,38.22,36.2,37.33,61.79,63.8,62.67
1500859,Anapu,PA,4.96,7.37,7.03,95.03,92.63,92.97
1500909,Augusto Corrêa,PA,38.55,45.83,50.83,61.44,54.17,49.17
1500958,Aurora do Pará,PA,29.68,56.7,65.33,70.31,43.29,34.67
1501006,Aveiro,PA,18.63,29.51,27.89,81.37,70.49,72.11
1501105,Bagre,PA,25.15,39.75,43.68,74.85,60.25,56.32
1501204,Baião,PA,58.83,62.94,58.5,41.17,37.05,41.49
1501253,Bannach,PA,13.63,33.94,45.05,86.37,66.04,54.95
1501303,Barcarena,PA,28.7,32.76,31.07,71.3,67.23,68.93
1501402,Belém,PA,73.58,75.49,67.13,26.42,24.51,32.86
1501451,Belterra,PA,29.37,54.93,69.79,70.64,45.07,30.21
1501501,Benevides,PA,53.05,69.64,70.65,46.95,30.35,29.35
1501576,Bom Jesus do Tocantins,PA,42.31,48.57,48.39,57.7,51.43,51.61
